,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2016-12-01,,,,,,,,183.0,14.0,169.0,169.0,,29.0,,,,,0.0,8.0,,,,,8.25,464.92,,,2923.0,9.5,0.0,,,5810185.0
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,5810185.0
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,5810185.0
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,5836135.0
2017-12-01,,,,,,,,152.0,22.0,130.0,130.0,,29.0,,,,,0.0,8.0,,,,,16.73,306.63,,,2238.0,25.78,,,,5836135.0
