,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2016-12-01,,,,,,,,513.0,67.0,447.0,,,24.0,,,,,,0.0,,,,,14.88,1734.7,,,9174.0,0.34,100.0,,,
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-12-01,,,,,,,,535.0,47.0,488.0,488.0,,24.0,,,,,0.0,,,,,,9.62,1902.21,,,10011.0,0.51,60.0,,,
